region,iteration,milliseconds
estimate_transform,10,0.536418
grid_index_construction,10,5.279322
profile_metrics,10,435.203716
nearest_neighbor_search,11,217.340033
estimate_transform,11,0.502639
grid_index_construction,11,5.101483
profile_metrics,11,435.881546
nearest_neighbor_search,12,219.199457
estimate_transform,12,0.412362
grid_index_construction,12,5.009178
profile_metrics,12,422.847046
nearest_neighbor_search,13,213.683398
estimate_transform,13,0.670596
grid_index_construction,13,5.385595
profile_metrics,13,423.334864
nearest_neighbor_search,14,211.903743
estimate_transform,14,0.423986
grid_index_construction,14,5.274381
profile_metrics,14,421.320454
nearest_neighbor_search,15,224.384353
estimate_transform,15,0.501315
grid_index_construction,15,5.518975
profile_metrics,15,447.919084
nearest_neighbor_search,16,220.950782
estimate_transform,16,0.415258
grid_index_construction,16,5.633503
profile_metrics,16,426.304025
nearest_neighbor_search,17,214.499686
estimate_transform,17,0.431060
grid_index_construction,17,5.344184
profile_metrics,17,424.268512
nearest_neighbor_search,18,214.477604
estimate_transform,18,0.559578
grid_index_construction,18,5.248956
profile_metrics,18,419.652159
nearest_neighbor_search,19,214.653398
estimate_transform,19,0.700685
grid_index_construction,19,5.541931
profile_metrics,19,440.298486
nearest_neighbor_search,20,232.897893
estimate_transform,20,0.497468
grid_index_construction,20,5.671242
profile_metrics,20,451.741285
nearest_neighbor_search,21,227.453074
estimate_transform,21,0.590848
grid_index_construction,21,5.724326
profile_metrics,21,445.372954
nearest_neighbor_search,22,227.428211
estimate_transform,22,0.583985
grid_index_construction,22,5.679919
profile_metrics,22,454.284572
nearest_neighbor_search,23,238.909167
estimate_transform,23,0.575961
grid_index_construction,23,5.648697
profile_metrics,23,472.144805
nearest_neighbor_search,24,249.133310
estimate_transform,24,0.561798
grid_index_construction,24,5.947636
profile_metrics,24,478.444740
nearest_neighbor_search,25,260.705072
estimate_transform,25,0.486698
grid_index_construction,25,5.957103
profile_metrics,25,486.950179
nearest_neighbor_search,26,250.588862
estimate_transform,26,0.484475
grid_index_construction,26,5.411557
profile_metrics,26,475.408339
nearest_neighbor_search,27,253.335296
estimate_transform,27,0.568140
grid_index_construction,27,5.331664
profile_metrics,27,537.033701
nearest_neighbor_search,28,262.846715
estimate_transform,28,0.473493
grid_index_construction,28,5.975307
profile_metrics,28,530.382778
nearest_neighbor_search,29,265.524015
estimate_transform,29,0.779373
grid_index_construction,29,5.625503
profile_metrics,29,503.705546
nearest_neighbor_search,30,263.989736
estimate_transform,30,0.641754
grid_index_construction,30,5.885363
profile_metrics,30,488.158892
nearest_neighbor_search,31,254.037429
estimate_transform,31,0.513937
grid_index_construction,31,5.494695
profile_metrics,31,490.240899
nearest_neighbor_search,32,248.198478
estimate_transform,32,0.614484
grid_index_construction,32,5.388792
profile_metrics,32,491.972127
nearest_neighbor_search,33,252.580177
estimate_transform,33,0.545757
grid_index_construction,33,6.106347
profile_metrics,33,508.859472
nearest_neighbor_search,34,252.701875
estimate_transform,34,0.497691
grid_index_construction,34,6.015481
profile_metrics,34,511.850334
nearest_neighbor_search,35,254.771688
estimate_transform,35,0.632130
grid_index_construction,35,5.728168
profile_metrics,35,517.347380
nearest_neighbor_search,36,258.962143
estimate_transform,36,0.493754
grid_index_construction,36,5.678292
profile_metrics,36,537.912162
nearest_neighbor_search,37,268.106415
estimate_transform,37,0.477286
grid_index_construction,37,6.283329
profile_metrics,37,538.746210
nearest_neighbor_search,38,264.188964
estimate_transform,38,0.524564
grid_index_construction,38,5.819024
profile_metrics,38,538.233936
nearest_neighbor_search,39,267.001042
estimate_transform,39,0.811390
grid_index_construction,39,6.078407
profile_metrics,39,528.921708
nearest_neighbor_search,40,258.994219
estimate_transform,40,0.739490
grid_index_construction,40,5.618733
profile_metrics,40,529.640977
nearest_neighbor_search,41,262.611764
estimate_transform,41,0.476284
grid_index_construction,41,5.669656
profile_metrics,41,534.716243
nearest_neighbor_search,42,258.373073
estimate_transform,42,0.492257
grid_index_construction,42,5.339860
profile_metrics,42,546.105161
